feature,importance_mean,importance_std
KUT,0.12347486680675823,0.04606088987854241
Ortalama,0.034197513800931924,0.03440769522303878
Sari_Indeksi,0.013368310193150212,0.009507657224667518
SARI_YUKSEKLIGI,0.0059020919238201965,0.010005553298885814
GENISLIK,0.005696305176935678,0.010072200880324874
ORTA,0.004477908387773966,0.006018217685592004
AK,0.004038300622018831,0.004074340454924493
YasHafta,0.0034118234888587894,0.008298604548874438
Tekerrur,0.0006633260448319578,0.0007539756177910627
Ornek,-0.00024962900160031555,0.004249222121897265
Yerlesim_Sikligi,-0.0007428369636053977,0.0009435712155642708
GRUP,-0.0013824123394386878,0.0040771801195435735
SARI,-0.0014413637235783927,0.001407671909159908
AK_YUKSEKLIGI,-0.002378103134381371,0.003140390900421894
Sekil_Indeksi,-0.0034077072507658233,0.01160375210202047
SIVRI,-0.0036305278408900964,0.0071244411753655515
Haugh_Birimi,-0.005049391448024953,0.003112397792149908
Genotip,-0.005061470331965645,0.004454598243195248
SARI_GENISLIGI,-0.007437570856851483,0.010251351203806621
PH,-0.009439578146771987,0.01371995642037333
AGIRLIK,-0.010850437583708229,0.01375756603151673
Ak_Indeksi,-0.011512944163980332,0.007631392992441625
AK_UZUNLUGU,-0.0149222055156213,0.006909303430850732
UZUNLUK,-0.022097450856069012,0.01296764838304721
AK_GENISLIGI,-0.022498129412618372,0.02499182312676317
SARI_SKORU,-0.027998585320506718,0.012666425576118455
