,pearson_corr
ORTA,0.9138860329247146
KUT,0.882851550340338
SIVRI,0.8564399955211105
MUKAVEMET,0.43329840533042796
AK_GENISLIGI,0.16915430110865104
SARI_YUKSEKLIGI,-0.134838588857277
Tekerrur,-0.12023307870071881
Sari_Indeksi,-0.11426603354081243
Ak_Indeksi,-0.10177787419722899
AGIRLIK,0.07825830324082779
