model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
RandomForest,0.3172539003242417,0.07482010954184116,1.658070987654322,0.09328068400387361,2.099228839947164,0.11874737711264097
ExtraTrees,0.31533931562784245,0.06486711689399544,1.6636358024691364,0.15574363923258286,2.1105110266836276,0.19971891634805222
GradientBoosting,0.232441373744183,0.06887085920272978,1.7726110387428455,0.14813307951659185,2.2330806852461267,0.19161984515592526
SVR,0.13101672853555518,0.13577193133398194,1.8847825907022835,0.15252872796459474,2.365525797614077,0.18797215216708277
KNN,0.1298179114104023,0.0729810613375521,1.8255731922398588,0.13941617665402298,2.374025146066547,0.14429111048082202
Ridge,0.08924335095450464,0.049559130209669136,1.896975078831416,0.09221311045450215,2.4324038959217638,0.16831829958327224
Dummy,-0.01482835649409937,0.013699661524076284,1.9783721993598533,0.10223652441686869,2.5676337208522724,0.1487679537889374
