model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
RandomForest,0.1557642207945626,0.08657814894019028,571.3611018518517,87.96479692172669,746.9927152941757,110.21901811050903
ExtraTrees,0.13195222701718318,0.09490910259600059,581.400398148148,72.81760446399852,756.1358735514547,103.62366688857803
GradientBoosting,0.11491268120247626,0.14121818017031226,592.855096119052,71.52207655142104,760.5381292469867,106.24519374997637
Ridge,0.10761584779823485,0.11932215234801284,592.3247557706216,75.76593515882008,768.8074842274177,124.18168153483946
KNN,0.05689348781214047,0.08352007366991945,605.0671957671958,86.5918786078298,790.49120820236,115.16752307640029
SVR,0.01923157816114531,0.006804582383364459,625.3935382355733,86.03369737662327,809.0062672879021,126.89723860035062
Dummy,-0.003019670180534373,0.003178511847220566,630.6144718792868,84.37926166186696,817.8250919135435,126.05589158683163
